text,true_label,idx,true_label_text
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1,794,POSITIVE
too much of it feels unfocused and underdeveloped . ,0,319,NEGATIVE
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,382,NEGATIVE
"prurient playthings aside , there 's little to love about this english trifle . ",0,779,NEGATIVE
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1,422,POSITIVE
"it proves quite compelling as an intense , brooding character study . ",1,327,POSITIVE
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,1,803,POSITIVE
looks and feels like a project better suited for the small screen . ,0,136,NEGATIVE
verbinski implements every hack-artist trick to give us the ooky-spookies . ,0,670,NEGATIVE
"this is a good script , good dialogue , funny even for adults . ",1,810,POSITIVE
a painfully funny ode to bad behavior . ,1,323,POSITIVE
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,344,POSITIVE
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0,497,NEGATIVE
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",1,227,POSITIVE
"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,44,NEGATIVE
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,1,404,POSITIVE
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",1,210,POSITIVE
"beautifully observed , miraculously unsentimental comedy-drama . ",1,428,POSITIVE
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",0,444,NEGATIVE
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,174,POSITIVE
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,70,NEGATIVE
"yes , dull . ",0,462,NEGATIVE
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",0,465,NEGATIVE
the second coming of harry potter is a film far superior to its predecessor . ,1,309,POSITIVE
"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,66,POSITIVE
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0,598,NEGATIVE
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,23,POSITIVE
